animal,name,cond,condition,genotype,should_include,bacc,classifier,model
22,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.6593994430232455,NN,sc
22,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6281604538087521,QDA,sc
22,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.6477264585526286,gSVM,sc
23,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5307765394993099,LDA,sc
23,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.705053239434689,NB,sc
23,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7251503203911132,NN,sc
23,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7109308492560552,QDA,sc
23,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7511763865521437,gSVM,sc
24,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5736483058008875,LDA,sc
24,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5537112095121743,NB,sc
24,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5831628720018929,NN,sc
24,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6228376495130112,QDA,sc
24,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5598333373573681,gSVM,sc
25,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6767200990084078,LDA,sc
25,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6721452814203012,NB,sc
25,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7013737300578529,NN,sc
25,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.694319347164761,QDA,sc
25,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.7016589486331046,gSVM,sc
26,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6119003934194148,LDA,sc
26,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6715645697268068,NB,sc
26,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.690065479152575,NN,sc
26,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6774193920329306,QDA,sc
26,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6808949107586727,gSVM,sc
27,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6127967485367789,LDA,sc
27,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.7817454489764712,NB,sc
27,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.8388281652151361,NN,sc
27,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.7787147733089468,QDA,sc
27,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.8317030763523036,gSVM,sc
28,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6332149661627169,LDA,sc
28,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6646032813608842,NB,sc
28,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6890383037736207,NN,sc
28,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6858871410665118,QDA,sc
28,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6790923810804135,gSVM,sc
29,LDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.5516988727858293,LDA,sc
29,NB_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6136530264279625,NB,sc
29,NN_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6551889741403808,NN,sc
29,QDA_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6055915506299139,QDA,sc
29,gSVM_c25_t500_sc,Tg-GluA2,GluA2,Tg,True,0.6596087903760537,gSVM,sc
30,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.5668592134485213,LDA,sc
30,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6319404632649068,NB,sc
30,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6203157357176031,NN,sc
30,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6576526344542726,QDA,sc
30,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6599365553228209,gSVM,sc
